images,final dataset
000000079258.jpg,ولد يقود عربة بحصان في البستان الأخضر الواسع
000000079274.jpg,مقعد خشبي بجوار حائط من الورد الاحمر
000000079355.jpg,بعض من حقائب السفر الموضوعة فوق بعضها
000000079356.jpg,"رجلان يجلسان علي مقعد علي فيل، وولد يقود الفيل بين الشجر"
000000079392.jpg,طائرة تحلق فوق أشجار مزهرة
000000079394.jpg,مجموعة حبيبات من الحلوى ذات الوان جذابة
000000079396.jpg,طفل صغير يضع فرشاة في فمه أثناء الاستحمام
000000079397.jpg,احد الاطفال يستعد لتطيير طائرته الورقية
000000079423.jpg,"أصناف حلويات،كعكات بالشيكولاتة والكريمة والفراولة"
000000079453.jpg,ربطات عنق ملونة معلقة بجوار بعضها
000000079460.jpg,خمسة قوارب مغلقة  علي حافة الماء
000000079471.jpg,دمية بنية في المقعد الخلفي للسيارة
000000079490.jpg,ملعب مكسو بالاشجار ومقاعد انتظار
000000079506.jpg,أواني طهي بها طعام مشوي من لحم وبطاطس
000000079545.jpg,مجموعة من الحيوانات تأكل بجوار النهر
000000079546.jpg,طائرة كبيرة تستعد للإقلاع عن الأرض
000000079555.jpg,سلطة من المكرونة ممزوجة ببعض الخضروات
000000079559.jpg,دمية وردية اللون داخل غسالة
000000079619.jpg,طفل صغير يجلس على كرسي
000000079628.jpg,عربة خضراء تقف بجوار عشب كثيف وبالأمام سيارات سوداء
000000079641.jpg,ولد يسبح مبتسما علي لوح
000000079642.jpg,ثلاث من طيور الطاووس المُلون محاطين ببعض السياج
000000079667.jpg,طاولة عليها عدد من البيتزا المجهزة للطهي
000000079762.jpg,دُب على شكل دمى موضوع على سرير
000000079768.jpg,مزرعة امام بحيرة يجلس عليها أحد الخراف
000000079792.jpg,أطباق بها خضار على حافة المطبخ
000000079816.jpg,سيارة لفردين مفتوحة الباب أمام البحر
000000079841.jpg,صورتان لشخصين يركبان دراجة في مكانين مختلفين
000000079846.jpg,"غرفة خشبية قديمة، ومطفئة حريق"
000000079846.jpg,كوخ خشبي صغير بين الشجر
000000079966.jpg,دراجة بها يجلس كلب أسود اللون ممسكاً في فمه كرة برتقالية
000000080016.jpg,طفل رضيع يجلس على دميته الدُب
000000080030.jpg,قطيع غنم يسير في ممر ضيق بين الأشجار
000000080123.jpg,طاولة موضوع في وسطها تورتة وحولها عديد من الأطباق والشوك
000000080194.jpg,مضرب تنس ارضي يحمل كرة
000000080303.jpg,آلة زراعية كبيرة خضراء تحرث الأرض
000000080311.jpg,طفل يلعب على مطبخ مخصص للأطفال
000000080337.jpg,رجل قطف ثمار الموز في مزرعة
000000080367.jpg,صحن أبيض به طعام وفلفل مقطع وبروكلي
000000080401.jpg,بحيرة بها مركبة تطفو عليها
000000080406.jpg,مجموعة من البط يأكل العشب
000000080455.jpg,رأس رجل ثلج ذي عينين من شرائح الليمون وأنف من جزرة
000000080462.jpg,مطار بجانب مدينة مليئة بالأنوار في وسط سماء مليئة بالرعد والغيوم
000000080511.jpg,شطيرة بها قطعة من اللحم
000000080562.jpg,حقيبة ظهر معلق بها دُمية على شكل دُب بني اللون
000000080566.jpg,بطة خزف ملونة بجوار شاشة ولوحة مفاتيح
000000080739.jpg,اشارة مرور صفراء اللون وسط الطريق
000000080745.jpg,بعض من ثمار فاكهة الموز الموضوعة فوق بعضها
000000080747.jpg,أرجوحة تتأرجح عليها فتاة واضعا فوقها دميتها
000000080824.jpg,ثمرة تفاح مُقسمة وموضوع جانبها سكين
000000080835.jpg,طائرين اسودين يقفان على جذع شجرة
000000081033.jpg,كتاب مطبوع عليه لوحة مفاتيح
000000081100.jpg,طفل صغير يمسك مضرب تنس أرضي
000000081117.jpg,غابة مليئة بالأشجار والزرع وبها ثلاث مقاعد خشبية
000000081211.jpg,"شارع بسيط علي جانبيه بيوت، ومعلق أمامها ملابس ودمي."
000000081264.jpg,قطار يمشي على جسر فوق الماء
000000081274.jpg,طفلة تتناول مشروبا اثناء الغذاء
000000081361.jpg,طفل وطفلة تمسك بيدها دمية كبيرة على شكل دُب
000000081365.jpg,"صينية بها خضار مطبوخ، بروكلي وجزر وبصل  ولفت وقرع وغيره"
000000081372.jpg,ثلاث دمي. بقبعة علي مقعد صغير علي الجانب.
000000081416.jpg,دراجة نارية تمشي بسرعه فائقة
000000081431.jpg,مزهرية  زجاجية بها ماء وورود موضوعه أمام الشرفة
000000081504.jpg,الكثير من الفاكهة المختلفة كالموز والبرتقال وغيرها وبجانبهم يتواجد طبقان بهم شطيرة و الآخر بعض الفاكهة
000000081587.jpg,مدينة مليئة بالأنوار بها بحيرة بها أحد البواخر
000000081622.jpg,إشارة مرور تشير للون الأحمر في طريق يسير به بعض السيارات
000000081630.jpg,طائر الصقر يحلق فوق البحر
000000081798.jpg,أشخاص يتزلجون علي الألواح علي الجليد
000000081855.jpg,شاطيء بحري كبير وفارغ ورمال صفراء
000000081897.jpg,مقعد خشبي أمام أمواج البحر
000000081956.jpg,مظلة حمراء فوق أزهار وشجيرات
000000081981.jpg,إناء به موضوع قطعة من الحلوى
000000081994.jpg,بعض الازهار الطبعيية في اناء زجاجي
000000081998.jpg,صحن يحتوي على تفاح واخر برتقال
000000082003.jpg,أرفف مطبخ موضوع عليها الأطباق
000000082007.jpg,طائر أبو قردان في الماء
000000082021.jpg,طائر المنقار الجميل بألوانه الرائعة
000000082041.jpg,مجسمات قطنية للجزر والموز والبيض
000000082174.jpg,طاووس أبيض وآخر ملون يقف كل منهما علي كرسي أبيض متجاوران وخلفهما شجر
000000082313.jpg,مظلة برتقالية اللون وسط الطريق
000000082367.jpg,الساعة الان الواحدة الا اربعة
000000082468.jpg,صحن به بطاطس شرائح محمرة وقطعتي لحم وجزر
000000082480.jpg,جهاز تجفيف الشعر موضوع أمام مرآة
000000082565.jpg,طريق داخل حقل ملئ بالزرع بجواره أحد الحقول
000000082576.jpg,قارب  في الماء مثبت بحبل بالقرب من الشاطئ
000000082604.jpg,جهاز لابتوب موضوع على الأرض وتجلس أمامه قطة واضعه يديها وتنظر إليه
000000082627.jpg,طيور تصطف علي مصباح عمود إنارة
000000082658.jpg,فواكه من الكيوي والعنب الاصفر والاحمر
000000082815.jpg,أحد الأشخاص ممسكاً بيديه طعام و يُطعم أحد الزرافات
000000082836.jpg,بعض من الطيور تجلس بالقرب من شاطئ البحر
000000082879.jpg,بنت تمسك بمضرب تنس وعلي الجانب الآخر سيارات مصطفة
000000082904.jpg,ساحة بها حصانين وعربة في شارع مضيء
000000082984.jpg,طفل يأكل شريحة خبز ويجلس علي مقعد السياراة
000000083014.jpg,ثلاثة اوعية تحتوي على المثلجات
000000083023.jpg,رجل يطلق طائرة ورقية في الهواء
000000083067.jpg,قارب ابيض وسط الماء بجوار اشجار
000000083134.jpg,طفلة تطهو بيتزا وبجوارها طفلان صغيران في غرفة طعام
000000083386.jpg,غرفة بها طفلان مستلقيان على السرير
000000083393.jpg,ساعه على الرصيف في الشارع
000000083508.jpg,طفل صغير يجلس على الكرسي
000000083518.jpg,طائر أسود يقف وسط أرض مليئة بالزرع وينظر للأعلى
000000083557.jpg,مدخل منزل به كرسي وأبواب بيضاء
000000083561.jpg,"ثلاثة بقرات عجاف، ونهر وقارب صغير"
000000083632.jpg,ستة  طائرات صفراء في السماء يتبعها بخارها.
000000083672.jpg,طفل صغير ينظر الي الشمس
000000083990.jpg,طائرة تحلق عالياً فوق بحيرة
000000084034.jpg,أربعة مقصات موضوعون علي قماش بجانب الورد
000000084108.jpg,طفل صغير يحمل هاتف في يده
000000084131.jpg,بعض الماعز النحيلة تأكل الحشائش أعلي مرتفعات
000000084155.jpg,طفلة تتمدد علي سرير مفروش بملاءة وردية
000000084235.jpg,"خبز به نقانق وبعض صلصة الطماطم، وبأسفله ورق خضار"
000000084243.jpg,أحد البقرات تقف بين جذوع أشجار
000000084324.jpg,حقيبة سفر صغيرة وردية وفوقها قبعة
000000084339.jpg,وجبة غذائية تحتوي على الروبيان و الفلفل الاحمر
000000084396.jpg,طفل يرتدي ملابس حمراء ويتناول شطيرة وخلفه يتواجد باص باللون الأحمر
000000084447.jpg,دراج يجلس على الارض بجوار دراجته
000000084493.jpg,طبق به عدد من شرائح البيتزا
000000084495.jpg,ثلاثة أفيال علي أرض عشبية
000000084536.jpg,عدد من تماثيل الدببة السوداء الموجودة بداخل غابة مليئة بالشجر و الزرع
000000084548.jpg,هاتف خلوي قديم جدا مكسور
000000084610.jpg,طفل علي متن قارب في الماء يضع قطعتي موز في فمه
000000084873.jpg,فطيرة البيتزا مع الطماطم و البروكلي
000000084873.jpg,بيتزا مليئة بالجبن والخضروات كالطماطم والبروكلي
000000084959.jpg,طفل صغير في المطبخ يقوم بإعداد طبق حلوى
000000085045.jpg,رجل ممسك بيديه شطيرة وبجواره باص أحمر
000000085151.jpg,مجموعه من الاطفال يطلقون طائرة ورقية
000000085162.jpg,بقرة تخرج رأسها من نافذة مبني
000000085515.jpg,قارب شراعي يبحر امام مدينة
000000085625.jpg,شجرة من اشارات المرور الخضراء
000000085629.jpg,دُمية على شكل دُب ملقى على جانب الطريق بجانبه كيس من المخلفات
000000085644.jpg,حديقة بها عصفور يقف بداخل حديقة بجانبه  مقعد خشبي
000000085728.jpg,قطتين يجلسن على نوافذ كبيرة
000000085750.jpg,حائط أبيض موضوع بداخله نافذة بها ساعة حائط
000000085826.jpg,طفلة رضيعة تمرح أمام الحاسوب علي السرير
000000085847.jpg,عدة قوارب تصطف جوار بعضها علي حافة الماء وخلفها شجر
000000085852.jpg,طفلة صغيرة تمسك بمظلة خضراء
000000085856.jpg,صالة بيت بها أريكة حمراء بجانبها منضدة خشبية وشباك
000000085888.jpg,العديد من المراكب و السفن داخل المياه
000000085902.jpg,"طبق به برتقال مقطع، وبجواره. كوب  عصير"
000000085960.jpg,ثلاثة نماذج مصغرة خشبية لقوارب
000000085998.jpg,طاولة موضوع عليها طبق من قطع اللحم وآخر من البروكلي
000000086020.jpg,شاحنة متوسطة تظهر في مرآة سيارة اخرى
000000086031.jpg,"صناديق خشبية بها موز أخضر وتفاح ويوسفي، وجانبهم قطة"
000000086267.jpg,قطع من الحلوي الدائرية المحلاة
000000086399.jpg,جزر مقشر وبروكلي وطماطم بجانب إناء
000000086464.jpg,طاولة خشبية بها إناء موضوع به فاكهة متنوعة كالموز والبرتقال
000000086476.jpg,مجموعة من الحلويات في. كرتونة
000000086564.jpg,طفل يبتسم ويأكل قطعة حلوي
000000086576.jpg,طير أصفر اللون يقف على فرع شجرة
000000086835.jpg,شبابيك منزل وحديقة وسياج  وكرسي انتظار
000000086835.jpg,منزل طوبى ذو باب أبيض وأمامه عشب مزروع
000000087000.jpg,موقد موضوع عليه أثنان من الصواني
000000087113.jpg,رجل يتكلم في الهاتف على جانب الطريق
000000087125.jpg,طفل يعد بيتزا مربعه باللحم والخضار والسجق
000000087141.jpg,دمية بيضاء اللون تجلس على مقعد
000000087156.jpg,قطار اصفر يمشي بين الحشائش الخضراء
000000087210.jpg,قارب في بحيرة متجمدة مقابل جبل جليدي
000000087230.jpg,سرير مفروش مضاء بمصابيح علي الجانبين
000000087450.jpg,سوق به برتقال كثير مرصوص وبجانبه بصل وأشخاص يقفون
000000087479.jpg,ثلاث من الرجال يلهون بطبق بلاستيكي
000000087513.jpg,طفل يحاول تقليب الطعام في المطبخ
000000087588.jpg,شخصان يسيران نحو مجمع الدراجات علي الجانب تحت الشجر.وبظهر أعلي اليسار مرآة
000000087629.jpg,طاولة طعام مستلقية عليها قطة بيضاء
000000087638.jpg,صفحة غلاف البداية والنهاية للكتاب
000000087655.jpg,طفل يقوم أحد بإطعامه شطيرة
000000087672.jpg,جانب من طائرة ورجل يقود سلم الكتروني
000000087812.jpg,قطار يسير على القضيب بجواره سور وبعض الأشجار
000000087812.jpg,قطار فضي بجوار سياج طويل
000000087890.jpg,مجموعه من الاكياس الورقية والشفافة بها خضار
000000087936.jpg,حمار وحشي محاط بسور من الأسلاك وأمامه حشائش
000000088087.jpg,طفل داخل ملعب يرتدي قفاز على رأسه وممسكاً بأحدى يديه مضرب للكرة
000000088556.jpg,طائرة رصاصية اللون علي أرض المطار وأمامها شخص
000000088556.jpg,طائرة للركاب متواجدة في مطارت الطائرات وأمامها يقف رجل المرور
000000088748.jpg,محل ملئ بالزهور والورد الملون والشجيرات الخضراء
000000088803.jpg,طفلة تحاول قص شكل بقرة على ورق
000000089005.jpg,عصفورتان داخل ورق شجرة وأغصان صغيرة
000000089005.jpg,عصفوران يقفان على محموعة من الأغصان وفروع الشجر
000000089112.jpg,طفلة  جالسة علي طاولة و تمسك بشوكة عاليا وتأكل المعكرونة الطويلة
000000089132.jpg,قوارب صغيرة في الماء الذي تحفه غابة كثيفة
000000089500.jpg,باص يمشي على الطريق وسط الاعشاب
000000089500.jpg,مزرعة كبيرة مليئة بالأشجار والحشائش وبها طريق يمر من خلاله باص
000000089541.jpg,طبق به فراولة  وموز وقطع خبز.
000000089589.jpg,"ولد وفتاة تأكل حلوي، جالسان علي السرير"
000000089598.jpg,شابان يلعبان التنس في الملعب
000000089703.jpg,طفلة تحمل دميتها وتقف على باب غرفة
000000089725.jpg,صينيات بها حلوي دائرية محلاة.
000000089735.jpg,بعض من شرائح الجزر الموضوعة في مقلاية
000000089745.jpg,ساعة معلقة بأعلي برج وأمامه شجر والسماء ملبدة بالغيوم
000000089745.jpg,مبني معلق أعلاه ساعة حائط
000000089765.jpg,إناء طهي علي موقد به أرز وجزر مبشور
000000089804.jpg,تورتة من الكريمة  موضوع عليها طبقة من فاكهة الفراولة يتوسطها شمعة
000000089835.jpg,حمامة أسفل كراسي خشبية وطاولة
000000089884.jpg,كراسي بحر ومظلة شمس بالقرب من الشاطئ
000000089892.jpg,سلة بها عدد من التفاح الأخضر
000000089894.jpg,مزهرية بيضاء بها ورود حمراء
000000090040.jpg,بعض من المراكب الموضوعة بالقرب من شاطئ البحر
000000090051.jpg,بحيرة بداخل مزرعة مليئة بالاشجار و الزرع وبها أحد الأبقار التي تشرب من الماء
000000090192.jpg,صحن فواكه مقطع يحتوى على مجموعة من الاصناف
000000090237.jpg,رجل يقوم بعرض الواح التزلج على الامواج
000000090278.jpg,حمامة تقف علي جانب طريق وبالأمام حافلات وأشخاص
000000090349.jpg,قطتان تنامان علي صخرة وخلفها عشب
000000090350.jpg,حصان ابيض يقف في مزرعة
000000090523.jpg,طفل يجلس على إريكة ممسكاً بيديه ثمرة موز
000000090566.jpg,رجل يرتدي قبعة داخل منطقة ثلجية ينظر للأطفال التي تلهو بالألعاب الورقية
000000090678.jpg,رجلان متواجدان داخل حديقة مليئة بالزهور الملونة
000000090724.jpg,سلة تسوق مليئة بالخضار والفواكه
000000090732.jpg,طفلة صغيرة تقوم باعداد الطعام
000000090738.jpg,دراجة على الطريق وابقار على الطريق
000000090864.jpg,طفل صغير يجلس فوق مركب على شاطئ البحر
000000090864.jpg,طفل يجلس في مقدمة لوح عريض علي الشاطئ الرملي
000000090867.jpg,أشارة بجانبها عمود به حبال كهربائية يقف عليه سرب من الطيور
000000090888.jpg,"طاولة خشبية عليها جهاز تحكم بألعاب الفيديو، وخلفها أريكة خضراء"
000000090964.jpg,قطتان ذاتا شعر كثيف ترقدان علي طاولة بيت خشبية.
000000090985.jpg,حبة من الطماطم تتوسط البرتقال
000000090994.jpg,بقرتان تأكلان العشب وخلفهم غنم
000000091005.jpg,دراجة نارية أمام باب معدني لأحد المباني القديمة
000000091063.jpg,قطار أحمر يسير تحت محطة مغطاة
000000091105.jpg,اثنين من الاطفال الصغار واحدهم يحمل كرة الهوكي
000000091130.jpg,أطباق جوار بعضها بها خضار وجزر وعنب وبعض المكسرات
000000091160.jpg,بركة مليئة بالزرع بها طائران أحدهم يشرب من الماء
000000091234.jpg,مجموعه من السيارات متوقفة مكسوة بالثلوج
000000091301.jpg,دراجة تستند علي جذع شجرة كبيرة وسط العشب
000000091371.jpg,قارب صغير بالقرب من شاطئ البحيرة
000000091397.jpg,دُمية على شكل كلب موضوعة بجانب دُمية دُب
000000091547.jpg,سور محاط بحمام سباحة يقف عليها طائران
000000091610.jpg,طائر ذو رقبة طويلة يقف بين أغصان الشجرة
000000091637.jpg,رجل وبنت يلعبان بالطائرة الورقية في الحديقة
000000091725.jpg,رجل يقوم بإعداد البيتزا في مطبخ مطعم
000000091743.jpg,أطفال يقفون ويمسكون مضرب تنس
000000091766.jpg,"بيض  وتوت احمر وأسود وكريز وبروكلي وجزر وبطاطس، موضوعون بداخل صينية مربعة خشبية"
000000091912.jpg,حمام سباحة كبير يطل علي مسطح مائي  ومنشآت كبيرة
000000091933.jpg,طاولة خشبية حولها مقاعد خشبية
000000091942.jpg,زاوية مطبخ . ثلاث ساعات بجوار بعض
000000091954.jpg,شاحنة قديمة علي جانب الطريق وخلفها أشجار
000000092115.jpg,قطار داخل أحد الأنفاق أحد أبوابه مفتوحه
000000092134.jpg,بعض من الكراسي الخشبية الموضوع على رمال أحد الشواطئ ووسطها مظلات
000000092136.jpg,طائر ابيض يقف على حافة صخرية على شاطئ
000000092167.jpg,طائر أزرق يحلق فوق أرض رملية والشمس متوهجة.
000000092176.jpg,طائر يقف أعلي غصن شجرة
000000092205.jpg,رجل المرور واقف على الطريق ممسكاً لوحة بيديه تشير للوقوف
000000092212.jpg,طريق عام يسير به العديد من السيارات ومتواجد على جانبه العديد من اللافتات
000000092212.jpg,مجموعه من السيارات تقف بجوار الطريق
000000092217.jpg,قرطاسية وجهاز حاسوب محمول وزجاجة ماء
000000092346.jpg,موقد طعام  به لحم مطبوخ وعليه طواجن للطعام
000000092377.jpg,طائر واقف علي حافة مقعد
000000092488.jpg,إشارة مرور بجوار مبانئ وعلى أحدهم مُعلق ساعة
000000092543.jpg,طفلة في الحديقة تلبس فستانا أحمر وتنظر لأعلى
000000092558.jpg,قطيع ماشية وبعض الحمير الوحشية بين نبات القمح.
000000092575.jpg,دمية بنية علي طاولة زجاجية وأمامها كوب من العصير
000000092585.jpg,أحد المراكب تسير داخل البحر
000000092601.jpg,جهاز حاسوب محمول وبجواره فأرة مؤشر
000000092631.jpg,حقل به منزل موضوع أمامه مقعد ويطل على بحيرة كبيرة بداخله بعض من الأغنام التي تتغذى على الحشائش
000000093031.jpg,قطعة صغيرة من الحلوة والمكسرات
000000093140.jpg,غرفة تحضير الطعام بها موقد إالكتروني و بعض الأدوات الآخرى
000000093175.jpg,طفل يجلس امام الحاسوب ويمسك الماوس
000000093288.jpg,"لوح من الكيبورد بجانبه العديد من الأدوات كالأقلام المختلفة، الشكل و الحجم ، مقلمة و مقص وغيرها من الأدوات الآخرى"
000000093356.jpg,طاولة ومقاعد تعلوها مظلات وتطل علي البحر
000000093675.jpg,حقيبة سفر علي الأرض بجانب أدراج
000000093947.jpg,طبق موضوع به مزيج من الفاكهة الموز والتوت
000000093971.jpg,قوارب محمول عليها ألعاب كبيرة  ملونة وخلفها أشجار.
000000093985.jpg,ولد يرتدي نظارة ويلبس قفازا ليلتقط به الكرة التي تفترب منه
000000094103.jpg,أربعة أطباق بأحدهم جزر وبالثاني قطع خبز وعنب والثالث بازلاء خضراء والاخير قطع معكرونة
000000094148.jpg,مزرعه بجوار الطريق ولها سياج ولوحة اعلانات
000000094174.jpg,طفل يرتدي ملابس صفراء وممسكاً بكلتا يديه دميته
000000094202.jpg,سيارة سوداء داخل مزرعة وبالقرب منها يقف مجموعة من الأبقار
000000094272.jpg,تورتة كريمة بها مُصمم بعض الورود
000000094299.jpg,طفل صغير يحمل مضرب تنس
000000094307.jpg,خضار وفراولة وبرتقال وبيض وجزر موضوعون علي مفرش
000000094514.jpg,طبق زجاجي به تفاحة وبرتقالة
000000094527.jpg,إناء ازرق لإعداد وصفات الطعام وبجانبه مضرب معدني
000000094590.jpg,صحن به حلوي دائرية مزينة.
000000094666.jpg,"سلات بها فلفل أحمر وبروكلي، معروض عليه السعر في ورقة."
000000094667.jpg,دب ابيض كبير ياكل اللحوم
000000094678.jpg,حقيبة سفر سوداء بها ميدالية على شكل ويندوز
000000094704.jpg,بعض الطيور تقف على حافة المنزل
000000094714.jpg,طفلة داخل ملعب تمسك بكلتا يديها مضرب للكرة
000000094716.jpg,جاموسة وصغيرها داخل حظيرة حجرية
000000094753.jpg,مقعد حديدي يتواجد في وسط مزرعة تطل على بحيرة
000000094884.jpg,موقد به عجين علي أشكال متنوعة يتم طهيه
000000094893.jpg,رجلان من فريقان مختلفان ويلعبان كرة القدم
000000094926.jpg,طفل صغير يرتدي حقيبة ظهر وينظر لدُب قطبي داخل جبال ثلجية
000000094949.jpg,ثلوج بيضاء تكسو الأرض والأشجار
000000094952.jpg,محطة سكة حديد والقطار قادم وأشخاص علي الجانب.
000000095001.jpg,استعراض للطائرات في السماء مع دخان ملون
000000095029.jpg,طفلة تبتسم وأمامها دمية وجزر
000000095029.jpg,طفل أشقر يجلس على مائة طعام موضوع أمامه كوب ودمية و إناء به بعض من الجزر
000000095061.jpg,باص يقف أمام أحد المباني بجانب العديد من السيارات الآخرى
000000095079.jpg,صنبور بجانبه كوب موضوع به مجموعة من فرش الأسنان و بجانبه أيضاً معجون للأسنان
000000095096.jpg,قطار يسير على القضبان و بالجوار طريق به مباني ويسير فيه بعض السيارات
000000095105.jpg,أحدهم يمسك بيده حلوي دائرية بمنديل
000000095105.jpg,أحد الأشخاض ممسكاً بيديه قطعة من الدوناتس
000000095121.jpg,"شجرة كبيرة لا اوراق لها بجانبها مقعد خشبي، تطل علي الماء وبالخلف مرتفع صخري"
000000095161.jpg,بعض من المظلات الملونة الموضوعة بجوار مبنى و يوجد ساعة حائط موضوعة عليه
000000095211.jpg,طفل على مقعد انتظار بجانبه حقيبة
000000095292.jpg,بيتزا موضوعة علي لوح خشبي وبجانبها أداة لتقطيعها.
000000095336.jpg,طفل جالس على مائدة الطعام وأمامه بعض الأطباق وممسكاُ بيديه عُلبة من الزبادي ويتناولها بيديه
000000095375.jpg,حمير وحشية تأكل العشب وقوس قزح يظهر في السماء
000000095390.jpg,مسطح مائي علي جانبيه شجر وجسر أبيض بالمنتصف
000000095418.jpg,أطباق زرقاء بها بيض وكوبين من القهوة ووعاء فاكهة
000000095427.jpg,"برتقال عديد فوقه نصف برتقالة مقسومة،وفوقة ورقة مكتوب عليها السعر للكيلو."
000000095441.jpg,مجموعة من البجع أسود اللون
000000095533.jpg,رجل يرتدي ملابس رياضية داخل ملعب ممسكاً بأحدى يديه مضرب للكرة ويدفع به الكرة
000000095583.jpg,رجل يمسك بمظلة سوداء وأوراق ويمشي في شارع
000000095677.jpg,رجل يضع عملات معدنية في الة الوقوف
000000095692.jpg,رجل يتزحلق بلوح التزحلق وبالجوار تتواجد مظلة يتواجدون أمام بحيرة كبيرة
000000095737.jpg,طبق به موز اصفر وعليه نقاط سوداء
000000095833.jpg,فيل وسط الماء يشرب وقت الغروب
000000095879.jpg,جرار برتقالي له عدة عجلات كبيرة
000000095940.jpg,طائرة تحلق فوق الأهرامات والرمال
000000096006.jpg,رجل يسير بالقرب من بحيرة بجوار بعض المباني
000000096044.jpg,ابقار تأكل العشب بالقرب من مسطح مائي
000000096076.jpg,طائرة تحلق فوق مجموعه من المراكب
000000096251.jpg,"رف عليه أكواب شمع ومزهرية بها ورد أبيض،وبعض النباتات"
000000096327.jpg,طبق به ثمرة موز مقطعة إلي شرائح بجانب بعض البسكويت و ملعقة موضوع بها صوص
000000096459.jpg,أحد البطات تسبح بداخل الماء
000000096481.jpg,دُب بني يقف سانداً كلتا يديه على جزع شجرة
000000096514.jpg,طائر أبيض وأسود يقف فوق الماء
000000096679.jpg,إوزة بيضاء تعوم في الماء
000000096975.jpg,حقيبة سفر كبيرة بداخلها كرتونة
000000096991.jpg,بحيرة وجليد وكرسي انتظار وأشجار
000000097201.jpg,بعض من الطيور السوداء تقف على فروع الأشجار
000000097283.jpg,مجموعة كبيرة من الابقار بجوار منازل
000000097376.jpg,طفل يرتدي ادوات التزلج على الجليد
000000097411.jpg,سرير موضوع عليه عُلبة من البيتزا المقطعة إلى شرائح
000000097496.jpg,عربات مصممة على شكل حلوى
000000097686.jpg,العديد من الثلاجات القديمة الموضوعة جانباً بجوارها غابة مليئة بالشجر
000000097844.jpg,"جهاز حاسوب محمول وبجانبه شاشة، موضوعان علي طاولة معدنية"
000000097890.jpg,العديد من الفاكهة المنوعة المعروضة للبيع وموضوع عليها لافتات بسعرها
000000097976.jpg,صحن به خبز محشو باللحم وبعض البطاطس المقلية  وبجانبه علي الطاولة أطباق أخري
000000098115.jpg,فار يقف بجوار بروكلي اخضر
000000098145.jpg,دميتان تنظران لدمية مستلقية في سلة
000000098155.jpg,بيت أمامه عمود معلق عليه لافتة ممنوع التوقف
000000098182.jpg,طفل يلهو في حديقة منزل
000000098187.jpg,رجل يمسك بحبل طائرة ورقية في أرض واسعة وبالخلف عدة أشخاص أيضا
000000098190.jpg,ولد يرتدي قفازا في الملعب وبالخلف ولد آخر
000000098471.jpg,سيارة للنقل بجانب الطريق في خارج البيت وأمامها بعض الشجر
000000098631.jpg,بعض من المظلات الطائرة الملونة
000000098636.jpg,طائر يسير امام مركبات في مرفأ بحري
000000098679.jpg,عامود انارة عليه لافتات طريق
000000098707.jpg,شجرة موز بها موز أخضر
000000098746.jpg,حشد من الأشخاص والأحصنة في جو جليدي
000000098748.jpg,زاوية مطبخ ابيض وخزانات بني
000000098772.jpg,طائر ابيض يقف فوق الماء وسط الحشائش
000000098887.jpg,طائر ابيض طويل يقف بجوار الفرن
000000098956.jpg,طفلة تبتسم ممسكة بدمية صغيرة
000000098979.jpg,جهاز تسخين وطهي الطعام الكهربي موضوع علي رخام المطبخ
000000099025.jpg,أتوبيس أزرق اللون يسير في طريق بجانب مزرعة
000000099026.jpg,مجموعه من الخراف تقف بجوار بعضها
000000099041.jpg,مطعم بيتزا أمامه كرسيان وسلة قمامة
000000099073.jpg,مراة كبيرة وطاولة سوداء اللون
000000099218.jpg,حديقة بها طفل يركض ممسكاً بيديه طائرة ورقية
000000099219.jpg,شخصين يلعبان كرة بيسبول بالمضرب
000000099219.jpg,ملعب به رجلان أحدهم ممسك مضرب ويرميبه الكرة والآخر يحاول ألتقاطها
000000099222.jpg,بعض الخضراوات الطازجة المعدة للغداء
000000099283.jpg,عربة قطار صدأة المعدن وخلفه شجر
000000099295.jpg,إناء به بعض من الفاكهة المتنوعة كالتفاح و العنب و غيرها
000000099311.jpg,عدة مزهريات ملونة مصطفة علي رف خشبي
000000099316.jpg,كرسي خشبي ومظلة شمسية اما بحيرة
000000099388.jpg,فراشات فوق شرائح برتقال وموز
000000099392.jpg,طفلتان تحضنان بعضهما ومعهم دمية صغيرة
000000099405.jpg,ذيل طائرة ترتفع في السماء أعلي الجبال
000000099519.jpg,سفينة محملة بالبضائع موضوعة بجانب مبنى
000000099607.jpg,طفل يسير في حديقة مرتدياً ملابس مخططة اللون
000000099615.jpg,طفل صغير يقف في مطعم
000000099628.jpg,طائر يحلق عالياً بالقرب من أحد الافيال بداخل غابة
000000099629.jpg,حصان يمشي على ساحل البحر
000000099636.jpg,الة التحكم عن بعد على دبدوب صغير
000000099649.jpg,إناء به أصناف متعددة من الطعام كالبروكلي وغيرها
000000099657.jpg,رجلان يعملان في الأجهزة الالكترونية
000000099658.jpg,حديقة بها طفل يرتدي خوذة ويتزلج علي اللوح وآخر خلفه يجري
000000099681.jpg,عمال في مصنع لمضارب البيسبول
000000099751.jpg,طائرات ورقية تحلق ومثبتة بحبل في الأرض أمام مسطح مائي
000000099753.jpg,رجل يقف بجوار فرن واطباق عليها بيتزا
000000099968.jpg,مطبخ أحد المطاعم به عدة مواقد جوار بعضها وحاملات طعام
000000100064.jpg,طائر اسود اللون جميل المظهر
000000100128.jpg,ثلاجة لعرض الاطعمة باشكال دائرية
